Desciption               From_Node       To_Node         Dijkstra's      Path
Min Chen's office
                            1               1                **
                            22              20               48          22 21 19 20
                            22              21               14          22 21
                            22              22               **
                            22              23               20          22 23

Knuckle stairs, Floor 3, north end
                            23              1                105         23 22 1
                            23              2                20          23 2
                            23              3                179         23 21 19 18 17 15 13 3
                            23              4                119         23 21 19 18 17 15 14 4
                            23              5                109         23 21 19 18 17 15 14 5
                            23              6                236         23 21 19 18 16 10 6
                            23              7                316         23 21 19 18 16 10 6 7
                            23              8                391         23 21 19 18 16 10 6 7 8
                            23              9                186         23 21 19 18 16 10 9
                            23              10               156         23 21 19 18 16 10
                            23              11               128         23 21 19 11
                            23              12               158         23 21 19 11 12
                            23              13               84          23 21 19 18 17 15 13
                            23              14               84          23 21 19 18 17 15 14
                            23              15               70          23 21 19 18 17 15
                            23              16               56          23 21 19 18 16
                            23              17               56          23 21 19 18 17
                            23              18               42          23 21 19 18
                            23              19               28          23 21 19
                            23              20               48          23 21 19 20
                            23              21               14          23 21
                            23              22               20          23 22
                            23              23               **

                13   1   169    13 15 17 18 19 21 22 1
Knuckle stairs, Floor 3, south end
                23   1   105    23 22 1
Knuckle stairs, Floor 3, south end
                1   4   204    1 22 21 19 18 17 15 14 4
Knuckle stairs, Floor 0, north end
                20   22   48    20 19 21 22
Knuckle stairs landing between floor 2/3
                15   18   28    15 16 18
Knuckle stairs, Floor 1, south end
                11   23   128    11 19 21 23
Knuckle stairs landing between floor 2/3
Graph:
Node1   Aurora and 85th

  edge 1 2
  edge 1 3
  edge 1 5
Node2   Green Lake Starbucks

  edge 2 4
Node3   Woodland Park Zoo

  edge 3 2
  edge 3 4
Node4   Troll under bridge

Node5   PCC

  edge 5 2
  edge 5 4
Depth-first ordering:  1 2 4 3 5Graph:
Node1   aaa

  edge 1 3
  edge 1 2
Node2   bbb

  edge 2 3
Node3   ccc

  edge 3 2
Depth-first ordering:  1 3 2
[aashim@csslab1 ~]$
















